nm_candidato,display_name,ig_handle,fb_handle,uf
SERGIO DE SOUZA,SÉRGIO SOUZA,sergiosouzapr,sergiosouzaPR,PR
SERGIO LUIS LACERDA BRITO,SÉRGIO BRITO,,,BA
SEVERINO DE LIRA PESSÔA,SEVERINO PESSÔA,,,AL
SHÉRIDAN ESTÉRFANY OLIVEIRA DE ANCHIETA,SHÉRIDAN,,,RR
SIDNEY RICARDO DE OLIVEIRA LEITE,SIDNEY LEITE,sidneyleite,leitesidney,AM
SILAS CÂMARA,SILAS CÂMARA,,depsilas,AM
SILVIA CRISTINA AMANCIO CHAGAS,SILVIA CRISTINA,,silviacristina.chagas,RO
SILVIO SERAFIM COSTA FILHO,SILVIO COSTA FILHO,silviocostafilho,silvio.costafilhoi,PE
SORAYA ALENCAR DOS SANTOS,SORAYA SANTOS,dep.sorayasantos,,RJ
SORAYA DE SOUZA MANNATO,DRA. SORAYA MANATO,,soraya.manato.7,ES
STEFANO AGUIAR DOS SANTOS,STEFANO AGUIAR,depstefano,PastorStefanoAguiar,MG
SÉRGIO TOLEDO DE ALBUQUERQUE,SÉRGIO TOLEDO,deputadosergiotoledo,deputadosergiotoledo,AL
SÓSTENES SILVA CAVALCANTE,SÓSTENES,sostenescavalcante,sostenescavalcante,RJ
TABATA CLAUDIA AMARAL DE PONTES,TABATA AMARAL,tabataamaralsp,tabataamaralSP,SP
TALIRIA PETRONE SOARES,TALÍRIA PETRONE,taliriapetrone,taliriapetronepsol,RJ
TEREZA CRISTINA CORREA DA COSTA DIAS,TEREZA CRISTINA,,,MS
TEREZA NELMA DA SILVA PORTO VIANA SOARES,TEREZA NELMA,terezanelmaal,TerezaNelmaAL,AL
TIAGO BRAGA PEREIRA,TIAGO DIMAS,,tiagodimas7788,TO
TIAGO LIMA MITRAUD DE CASTRO LEITE,TIAGO MITRAUD,tiagomitraud,tiagomitraud,MG
TÚLIO GADELHA SALES DE MELO,TÚLIO GADÊLHA,tulio.gadelha,TulioGadelhaOficial,PE
UBIRAJARA DO PINDARÉ ALMEIDA SOUSA,BIRA DO PINDARÉ,biradopindare,bira.dopindare,MA
UBIRATAN ANTUNES SANDERSON,SANDERSON FEDERAL,sanderson.federal,sanderson.federal,RS
ULDURICO ALENCAR PINTO,ULDÚRICO JÚNIOR,ulduricojr,ulduricojunior,BA
VALMIR CARLOS DA ASSUNÇÃO,VALMIR ASSUNÇÃO,,,BA
VANDA DENIR MILANI NOGUEIRA,DRA. VANDA MILANI,,,AC
VANDER ALBERTO MASSON,VANDER MASSON,,,MT
VANDER LUIZ DOS SANTOS LOUBET,VANDER LOUBET,vanderloubet,,MS
VANDERLEI MACRIS,VANDERLEI MACRIS,,,SP
VICENTE ALVES DE OLIVEIRA JUNIOR,VICENTINHO JUNIOR,,,TO
VICENTE PAULO DA SILVA,VICENTINHO,vicentinho_pt,DeputadoFederalVicentinho,SP
VILSON LUIZ DA SILVA,VILSON DA FETAEMG,vilsondafetaemg,VilsondaFetaemg,MG
VINICIUS LAZZER POIT,VINICIUS POIT,viniciuspoit,viniciuspoit,SP
VINICIUS MEDEIROS FARAH,VINÍCIUS FARAH,,,RJ
VINICIUS RAPOZO DE CARVALHO,VINICIUS CARVALHO,viniciuscarvalhooficial,ViniciusCarvalhoOficial,SP
VINÍCIUS DE AZEVEDO GURGEL,VINÍCIUS,,,AP
VITOR HUGO DE ARAUJO ALMEIDA,MAJOR VITOR HUGO,majorvitorhugo,Majorvitorhugo,GO
VITOR LIPPI,VITOR LIPPI,vitorlippi,vitorlippi,SP
WAGNER BACH MARTINS,VAVÁ MARTINS,vavamartinsoficial,vavamartinsoficial,PA
WAGNER MONTES DOS SANTOS,WAGNER MONTES,,,RJ
WAGNER SOUSA GOMES,CAPITÃO WAGNER,capitaowagnersousa,capitaowagnersousa,CE
WALDENOR ALVES PEREIRA FILHO,WALDENOR PEREIRA,,,BA
WALDIR SOARES DE OLIVEIRA,DELEGADO WALDIR,delegadowaldir,delegado.waldir,GO
WALTER PEREIRA ALVES,WALTER ALVES,,,RN
WELITON FERNANDES PRADO,WELITON PRADO,weliton.prado,welitonpradodeputado,MG
WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA,WLADIMIR GAROTINHO,,wladimirgarotinhoo,RJ
WOLNEY QUEIROZ MACIEL,WOLNEY QUEIROZ,,,PE
ZACARIAS CALIL HAMU,DR. ZACARIAS CALIL,,,GO
ÁTILA FREITAS LIRA,ÁTILA LIRA,atilaliraoficial,@atilalira4040,PI
ÁUREA CAROLINA DE FREITAS E SILVA,AUREA CAROLINA,aureacarolina,aureacarolina,MG
ÉDER MAURO CARDOSO BARRA,DELEGADO ÉDER MAURO,edermauropa,edermauropa,PA
