nm_candidato,display_name,ig_handle,fb_handle,uf,ig_status,fb_status,observacoes
RICARDO JOSE MAGALHÃES BARROS,RICARDO BARROS,,ricardobarrosoficial,PR,Validado,Validado,Não achei insta
RICARDO TEOBALDO CAVALCANTI,RICARDO TEOBALDO,,,PE,Validado,Validado,Instagram Handle: ricardoteobaldo e Facebook Handle: ricardoteobaldooficial. Ambos indisponíveis
RICARDO ZANATTA GUIDI,RICARDO GUIDI,ricardozguidi,ricardozguidi,SC,Validado,Validado,
ROBERTO ALVES DE LUCENA,ROBERTO DE LUCENA,@robertodelucena,dep.lucena,SP,Validado,Validado,
ROBERTO SEBASTIÃO PETERNELLI JUNIOR,GENERAL PETERNELLI,generalpeternelli,generalpeternelli,SP,Validado,Validado,
ROBERTO SOARES PESSOA,ROBERTO PESSOA,robertopessoaoficial,RobertoPessoaOficial,CE,Validado,Validado,
RODRIGO ANTONIO DE AGOSTINHO MENDONÇA,RODRIGO AGOSTINHO,rodrigoagostinho,rodrigoagostinhobrasil,SP,Validado,Validado,
RODRIGO BATISTA DE CASTRO,RODRIGO DE CASTRO,,rodrigocastroMG,MG,Validado,Validado,Não achei insta
RODRIGO COELHO,RODRIGO COELHO,coelho_rodrigo,rodrigocoelhooficial,SC,Validado,Validado,
RODRIGO FELINTO IBARRA EPITÁCIO MAIA,RODRIGO MAIA,rodrigomaiarj,rodrigomaiarj,RJ,Validado,Validado,
ROGERIO CORREIA DE MOURA BAPTISTA,ROGÉRIO CORREIA,rogeriocorreia_,deputadorogeriocorreia,MG,Validado,Validado,
ROGERIO MENDONÇA,PENINHA,deputadopeninha,deputadopeninha,SC,Validado,Validado,
ROGERIO TEIXEIRA JUNIOR,JUNINHO DO PNEU,juninhodopneu,juninhodopneu01,RJ,Validado,Validado,
RONALDO CARLETTO,RONALDO CARLETTO,ronaldocarletto,RonaldoCarlettoOficial,BA,Validado,Validado,
ROSA NEIDE SANDES DE ALMEIDA,PROFESSORA ROSA NEIDE,prof_rosaneide,ProfessoraRosaNeide,MT,Validado,Validado,
ROSANA DE OLIVEIRA VALLE,ROSANA VALLE,rosanavalleoficial,RosanaValleOficial,SP,Validado,Validado,
ROSANGELA DE SOUZA GOMES,ROSANGELA GOMES,deputadarosangelagomes,deputadarosangelagomes,RJ,Validado,Validado,
ROSIANE MODESTO DE OLIVEIRA,ROSE MODESTO,rosemodestoms,rosemodestoms,MS,Validado,Validado,
RUBENS BUENO,RUBENS BUENO,23rubensbueno,23rubensbueno,PR,Validado,Validado,"Pareceu existir um Instagram Handle antigo ""rbueno23"" é indicado na link.tree dele mas é inacessível "
RUBENS OTONI GOMIDE,RUBENS OTONI,rubensotoni,rubensotoni,GO,Validado,Validado,
RUBENS PEREIRA E SILVA JUNIOR,RUBENS JUNIOR,rubenspereirajr,rubenspereirajrs,MA,Validado,Validado," Tem o Facebook Handle ""rubenspereirajr"" inacessível
"
RUI GOETHE DA COSTA FALCÃO,RUI FALCÃO,ruifalcao13,rfalcao13,SP,Validado,Validado,
RUY MANUEL CARNEIRO BARBOSA DE AÇA BELCHIOR,RUY CARNEIRO,ruy.carneiro,ruycarneiropb,PB,Validado,Validado,
SAMIA DE SOUZA BOMFIM,SÂMIA BOMFIM,samiabomfim,samia.bomfim.psol,SP,Validado,Validado,
SAMUEL MOREIRA DA SILVA JÚNIOR,SAMUEL MOREIRA,samuelmoreiraregistro,samuelmoreiraregistro,SP,Validado,Validado,
SANDRO ALEX CRUZ DE OLIVEIRA,SANDRO ALEX,,depsandroalex,PR,Validado,Validado,"Não tem instagram apontado no site, não deve ter realmente"
SEBASTIÃO IGNACIO DE OLIVEIRA JUNIOR,SEBASTIÃO OLIVEIRA,sebastiaooliveirape,sebastiaooliveirape,PE,Validado,Validado,
SERGIO DE SOUZA,SÉRGIO SOUZA,sergiosouzapr,sergiosouzaPR,PR,Validado,Validado,
SERGIO LUIS LACERDA BRITO,SÉRGIO BRITO,,,BA,Validado,Validado,Não achei nenhum
SEVERINO DE LIRA PESSÔA,SEVERINO PESSÔA,,,AL,Validado,Validado,Não achei nenhum
SHÉRIDAN ESTÉRFANY OLIVEIRA DE ANCHIETA,SHÉRIDAN,sheridanrr,SheridanRR,RR,Validado,Validado,
SIDNEY RICARDO DE OLIVEIRA LEITE,SIDNEY LEITE,sidneyleite_,leitesidney,AM,Validado,Validado,
SILAS CÂMARA,SILAS CÂMARA,depsilascamara,depsilas,AM,Validado,Validado,"Achei um Instagram Handle ""silascamara_"" mas inacessível"
SILVIA CRISTINA AMANCIO CHAGAS,SILVIA CRISTINA,silviacristina.ro,silviacristina.ro,RO,Validado,Validado,
SILVIO SERAFIM COSTA FILHO,SILVIO COSTA FILHO,silviocostafilho,silvio.costafilhoi,PE,Validado,Validado,
